Date,Product,Category,Region,Sales,Units,Profit,Customer_Type
2024-01-01,Laptop,Electronics,North,1299.99,1,389.99,Business
2024-01-02,Mouse,Electronics,South,29.99,3,8.99,Consumer
2024-01-03,Keyboard,Electronics,East,79.99,2,23.99,Consumer
2024-01-04,Monitor,Electronics,West,349.99,1,104.99,Business
2024-01-05,Headphones,Electronics,North,159.99,2,47.99,Consumer
2024-01-06,Laptop,Electronics,South,1299.99,1,389.99,Business
2024-01-07,Mouse,Electronics,East,29.99,5,8.99,Consumer
2024-01-08,Desk_Chair,Furniture,West,299.99,1,89.99,Business
2024-01-09,Standing_Desk,Furniture,North,599.99,1,179.99,Business
2024-01-10,Laptop,Electronics,South,1299.99,2,389.99,Business
2024-01-11,Monitor,Electronics,East,349.99,3,104.99,Business
2024-01-12,Keyboard,Electronics,West,79.99,4,23.99,Consumer
2024-01-13,Mouse,Electronics,North,29.99,6,8.99,Consumer
2024-01-14,Headphones,Electronics,South,159.99,1,47.99,Consumer
2024-01-15,Desk_Chair,Furniture,East,299.99,2,89.99,Business
2024-01-16,Laptop,Electronics,West,1299.99,3,389.99,Business
2024-01-17,Standing_Desk,Furniture,North,599.99,1,179.99,Business
2024-01-18,Monitor,Electronics,South,349.99,2,104.99,Business
2024-01-19,Mouse,Electronics,East,29.99,8,8.99,Consumer
2024-01-20,Keyboard,Electronics,West,79.99,3,23.99,Consumer
2024-01-21,Laptop,Electronics,North,1299.99,2,389.99,Business
2024-01-22,Headphones,Electronics,South,159.99,3,47.99,Consumer
2024-01-23,Desk_Chair,Furniture,East,299.99,1,89.99,Business
2024-01-24,Monitor,Electronics,West,349.99,4,104.99,Business
2024-01-25,Mouse,Electronics,North,29.99,10,8.99,Consumer
2024-01-26,Laptop,Electronics,South,1299.99,1,389.99,Business
2024-01-27,Standing_Desk,Furniture,East,599.99,2,179.99,Business
2024-01-28,Keyboard,Electronics,West,79.99,5,23.99,Consumer
2024-01-29,Headphones,Electronics,North,159.99,2,47.99,Consumer
2024-01-30,Desk_Chair,Furniture,South,299.99,3,89.99,Business
2024-02-01,Laptop,Electronics,East,1299.99,4,389.99,Business
2024-02-02,Monitor,Electronics,West,349.99,2,104.99,Business
2024-02-03,Mouse,Electronics,North,29.99,7,8.99,Consumer
2024-02-04,Keyboard,Electronics,South,79.99,4,23.99,Consumer
2024-02-05,Standing_Desk,Furniture,East,599.99,1,179.99,Business
2024-02-06,Laptop,Electronics,West,1299.99,2,389.99,Business
2024-02-07,Headphones,Electronics,North,159.99,4,47.99,Consumer
2024-02-08,Desk_Chair,Furniture,South,299.99,2,89.99,Business
2024-02-09,Monitor,Electronics,East,349.99,3,104.99,Business
2024-02-10,Mouse,Electronics,West,29.99,9,8.99,Consumer
2024-02-11,Laptop,Electronics,North,1299.99,3,389.99,Business
2024-02-12,Keyboard,Electronics,South,79.99,6,23.99,Consumer
2024-02-13,Standing_Desk,Furniture,East,599.99,2,179.99,Business
2024-02-14,Headphones,Electronics,West,159.99,5,47.99,Consumer
2024-02-15,Desk_Chair,Furniture,North,299.99,1,89.99,Business
2024-02-16,Laptop,Electronics,South,1299.99,5,389.99,Business
2024-02-17,Monitor,Electronics,East,349.99,4,104.99,Business
2024-02-18,Mouse,Electronics,West,29.99,12,8.99,Consumer
2024-02-19,Keyboard,Electronics,North,79.99,3,23.99,Consumer
2024-02-20,Standing_Desk,Furniture,South,599.99,1,179.99,Business
